Date,Rise,Set,DayLength,,
28/09/09,07:21,19:09,11:47,,
29/09/09,07:23,19:06,11:43,,
30/09/09,07:25,19:04,11:39,,
01/10/09,07:27,19:02,11:35,,
02/10/09,07:29,18:59,11:31,,
03/10/09,07:30,18:57,11:27,,
04/10/09,07:32,18:54,11:22,,
05/10/09,07:34,18:52,11:18,,
06/10/09,07:36,18:50,11:14,,
07/10/09,07:37,18:47,11:10,,
08/10/09,07:39,18:45,11:06,,
09/10/09,07:41,18:43,11:02,,
10/10/09,07:43,18:40,10:57,,
11/10/09,07:45,18:38,10:53,,
12/10/09,07:46,18:36,10:49,,
13/10/09,07:48,18:33,10:45,,
14/10/09,07:50,18:31,10:41,,
15/10/09,07:52,18:29,10:37,,
16/10/09,07:54,18:26,10:33,,
17/10/09,07:56,18:24,10:29,,
18/10/09,07:58,18:22,10:24,,
19/10/09,07:59,18:20,10:20,,
20/10/09,08:01,18:18,10:16,,
21/10/09,08:03,18:15,10:12,,
22/10/09,08:05,18:13,10:08,,
23/10/09,08:07,18:11,10:04,,
24/10/09,08:09,18:09,10:00,,
25/10/09,07:11,17:07,09:56,,
26/10/09,07:13,17:05,09:52,,
27/10/09,07:14,17:03,09:48,,
28/10/09,07:16,17:01,09:44,,
29/10/09,07:18,16:59,09:40,,
30/10/09,07:20,16:57,09:36,,
31/10/09,07:22,16:55,09:33,,
01/11/09,07:24,16:53,09:29,,
02/11/09,07:26,16:51,09:25,,
03/11/09,07:28,16:49,09:21,,
04/11/09,07:30,16:47,09:17,,
05/11/09,07:32,16:45,09:14,,
06/11/09,07:33,16:43,09:10,,
07/11/09,07:35,16:42,09:06,,
08/11/09,07:37,16:40,09:03,,
09/11/09,07:39,16:38,08:59,,
10/11/09,07:41,16:36,08:55,,
11/11/09,07:43,16:35,08:52,,
12/11/09,07:45,16:33,08:48,,
13/11/09,07:47,16:32,08:45,,
14/11/09,07:48,16:30,08:42,,
15/11/09,07:50,16:28,08:38,,
16/11/09,07:52,16:27,08:35,,
17/11/09,07:54,16:26,08:32,,
18/11/09,07:56,16:24,08:28,,
19/11/09,07:58,16:23,08:25,,
20/11/09,07:59,16:22,08:22,,
21/11/09,08:01,16:20,08:19,,
22/11/09,08:03,16:19,08:16,,
23/11/09,08:05,16:18,08:13,,
24/11/09,08:06,16:17,08:11,,
25/11/09,08:08,16:16,08:08,,
26/11/09,08:10,16:15,08:05,,
27/11/09,08:11,16:14,08:03,,
28/11/09,08:13,16:13,08:00,,
29/11/09,08:14,16:12,07:58,,
30/11/09,08:16,16:11,07:55,,
01/12/09,08:17,16:11,07:53,,
02/12/09,08:19,16:10,07:51,,
03/12/09,08:20,16:09,07:49,,
04/12/09,08:22,16:09,07:47,,
05/12/09,08:23,16:08,07:45,,
06/12/09,08:24,16:08,07:43,,
07/12/09,08:26,16:07,07:42,,
08/12/09,08:27,16:07,07:40,,
09/12/09,08:28,16:07,07:39,,
10/12/09,08:29,16:06,07:37,,
11/12/09,08:30,16:06,07:36,,
12/12/09,08:31,16:06,07:35,,
13/12/09,08:32,16:06,07:34,,
14/12/09,08:33,16:06,07:33,,
15/12/09,08:34,16:06,07:32,,
16/12/09,08:35,16:06,07:31,,
17/12/09,08:36,16:07,07:31,,
18/12/09,08:36,16:07,07:30,,
19/12/09,08:37,16:07,07:30,,
20/12/09,08:38,16:08,07:30,,
21/12/09,08:38,16:08,07:30,,
22/12/09,08:39,16:09,07:30,,
23/12/09,08:39,16:09,07:30,,
24/12/09,08:40,16:10,07:30,,
25/12/09,08:40,16:11,07:31,,
26/12/09,08:40,16:11,07:31,,
27/12/09,08:40,16:12,07:32,,
28/12/09,08:40,16:13,07:33,,
29/12/09,08:41,16:14,07:33,,
30/12/09,08:41,16:15,07:34,,
31/12/09,08:40,16:16,07:36,,
01/01/10,08:40,16:17,07:37,,
02/01/10,08:40,16:18,07:38,,
03/01/10,08:40,16:19,07:39,,
04/01/10,08:40,16:21,07:41,,
05/01/10,08:39,16:22,07:43,,
06/01/10,08:39,16:23,07:44,,
07/01/10,08:38,16:25,07:46,,
08/01/10,08:38,16:26,07:48,,
09/01/10,08:37,16:27,07:50,,
10/01/10,08:37,16:29,07:52,,
11/01/10,08:36,16:30,07:55,,
12/01/10,08:35,16:32,07:57,,
13/01/10,08:34,16:34,07:59,,
14/01/10,08:33,16:35,08:02,,
15/01/10,08:33,16:37,08:04,,
16/01/10,08:32,16:39,08:07,,
17/01/10,08:31,16:40,08:10,,
18/01/10,08:29,16:42,08:12,,
19/01/10,08:28,16:44,08:15,,
20/01/10,08:27,16:45,08:18,,
21/01/10,08:26,16:47,08:21,,
22/01/10,08:25,16:49,08:24,,
23/01/10,08:23,16:51,08:27,,
24/01/10,08:22,16:53,08:31,,
25/01/10,08:21,16:55,08:34,,
26/01/10,08:19,16:57,08:37,,
27/01/10,08:18,16:58,08:41,,
28/01/10,08:16,17:00,08:44,,
29/01/10,08:15,17:02,08:47,,
30/01/10,08:13,17:04,08:51,,
31/01/10,08:12,17:06,08:55,,
01/02/10,08:10,17:08,08:58,,
02/02/10,08:08,17:10,09:02,,
03/02/10,08:06,17:12,09:05,,
04/02/10,08:05,17:14,09:09,,
05/02/10,08:03,17:16,09:13,,
06/02/10,08:01,17:18,09:17,,
07/02/10,07:59,17:20,09:21,,
08/02/10,07:57,17:22,09:24,,
09/02/10,07:56,17:24,09:28,,
10/02/10,07:54,17:26,09:32,,
11/02/10,07:52,17:28,09:36,,
12/02/10,07:50,17:30,09:40,,
13/02/10,07:48,17:32,09:44,,
14/02/10,07:46,17:34,09:48,,
15/02/10,07:44,17:36,09:52,,
16/02/10,07:42,17:38,09:56,,
17/02/10,07:39,17:40,10:00,,
18/02/10,07:37,17:41,10:04,,
19/02/10,07:35,17:43,10:08,,
20/02/10,07:33,17:45,10:12,,
21/02/10,07:31,17:47,10:16,,
22/02/10,07:29,17:49,10:21,,
23/02/10,07:27,17:51,10:25,,
24/02/10,07:24,17:53,10:29,,
25/02/10,07:22,17:55,10:33,,
26/02/10,07:20,17:57,10:37,,
27/02/10,07:18,17:59,10:41,,
28/02/10,07:15,18:01,10:45,,
01/03/10,07:13,18:03,10:50,,
02/03/10,07:11,18:05,10:54,,
03/03/10,07:08,18:07,10:58,,
04/03/10,07:06,18:08,11:02,,
05/03/10,07:04,18:10,11:06,,
06/03/10,07:01,18:12,11:11,,
07/03/10,06:59,18:14,11:15,,
08/03/10,06:57,18:16,11:19,,
09/03/10,06:54,18:18,11:23,,
10/03/10,06:52,18:20,11:28,,
11/03/10,06:50,18:22,11:32,,
12/03/10,06:47,18:23,11:36,,
13/03/10,06:45,18:25,11:40,,
14/03/10,06:42,18:27,11:45,,
15/03/10,06:40,18:29,11:49,,
16/03/10,06:38,18:31,11:53,,
17/03/10,06:35,18:33,11:57,,
18/03/10,06:33,18:34,12:02,,
19/03/10,06:30,18:36,12:06,,
20/03/10,06:28,18:38,12:10,,
21/03/10,06:26,18:40,12:14,,
22/03/10,06:23,18:42,12:19,,
23/03/10,06:21,18:44,12:23,,
24/03/10,06:18,18:45,12:27,,
25/03/10,06:16,18:47,12:31,,
26/03/10,06:14,18:49,12:36,,
27/03/10,06:11,18:51,12:40,,
28/03/10,07:09,19:53,12:44,,
29/03/10,07:06,19:55,12:48,,
30/03/10,07:04,19:56,12:52,,
31/03/10,07:01,19:58,12:57,,
01/04/10,06:59,20:00,13:01,,
02/04/10,06:57,20:02,13:05,,
03/04/10,06:54,20:04,13:09,,
04/04/10,06:52,20:05,13:14,,
05/04/10,06:49,20:07,13:18,,
06/04/10,06:47,20:09,13:22,,
07/04/10,06:45,20:11,13:26,,
08/04/10,06:42,20:13,13:30,,
09/04/10,06:40,20:14,13:34,,
10/04/10,06:38,20:16,13:39,,
11/04/10,06:35,20:18,13:43,,
12/04/10,06:33,20:20,13:47,,
13/04/10,06:31,20:22,13:51,,
14/04/10,06:28,20:24,13:55,,
15/04/10,06:26,20:25,13:59,,
16/04/10,06:24,20:27,14:03,,
17/04/10,06:22,20:29,14:07,,
18/04/10,06:19,20:31,14:12,,
19/04/10,06:17,20:33,14:16,,
20/04/10,06:15,20:34,14:20,,
21/04/10,06:13,20:36,14:24,,
22/04/10,06:10,20:38,14:28,,
23/04/10,06:08,20:40,14:32,,
24/04/10,06:06,20:42,14:36,,
25/04/10,06:04,20:43,14:40,,
26/04/10,06:02,20:45,14:44,,
27/04/10,06:00,20:47,14:47,,
28/04/10,05:57,20:49,14:51,,
29/04/10,05:55,20:51,14:55,,
30/04/10,05:53,20:52,14:59,,
01/05/10,05:51,20:54,15:03,,
02/05/10,05:49,20:56,15:07,,
03/05/10,05:47,20:58,15:10,,
04/05/10,05:45,21:00,15:14,,
05/05/10,05:43,21:01,15:18,,
06/05/10,05:42,21:03,15:21,,
07/05/10,05:40,21:05,15:25,,
08/05/10,05:38,21:06,15:29,,
09/05/10,05:36,21:08,15:32,,
10/05/10,05:34,21:10,15:36,,
11/05/10,05:32,21:12,15:39,,
12/05/10,05:31,21:13,15:43,,
13/05/10,05:29,21:15,15:46,,
14/05/10,05:27,21:17,15:49,,
15/05/10,05:26,21:18,15:53,,
16/05/10,05:24,21:20,15:56,,
17/05/10,05:22,21:22,15:59,,
18/05/10,05:21,21:23,16:02,,
19/05/10,05:19,21:25,16:05,,
20/05/10,05:18,21:26,16:08,,
21/05/10,05:17,21:28,16:11,,
22/05/10,05:15,21:29,16:14,,
23/05/10,05:14,21:31,16:17,,
24/05/10,05:13,21:32,16:20,,
25/05/10,05:11,21:34,16:22,,
26/05/10,05:10,21:35,16:25,,
27/05/10,05:09,21:36,16:27,,
28/05/10,05:08,21:38,16:30,,
29/05/10,05:07,21:39,16:32,,
30/05/10,05:06,21:40,16:34,,
31/05/10,05:05,21:41,16:37,,
01/06/10,05:04,21:43,16:39,,
02/06/10,05:03,21:44,16:41,,
03/06/10,05:02,21:45,16:43,,
04/06/10,05:01,21:46,16:45,,
05/06/10,05:01,21:47,16:46,,
06/06/10,05:00,21:48,16:48,,
07/06/10,04:59,21:49,16:50,,
08/06/10,04:59,21:50,16:51,,
09/06/10,04:58,21:51,16:52,,
10/06/10,04:58,21:52,16:54,,
11/06/10,04:57,21:52,16:55,,
12/06/10,04:57,21:53,16:56,,
13/06/10,04:57,21:54,16:57,,
14/06/10,04:57,21:54,16:58,,
15/06/10,04:56,21:55,16:58,,
16/06/10,04:56,21:55,16:59,,
17/06/10,04:56,21:56,16:59,,
18/06/10,04:56,21:56,17:00,,
19/06/10,04:56,21:56,17:00,,
20/06/10,04:57,21:57,17:00,,
21/06/10,04:57,21:57,17:00,,
22/06/10,04:57,21:57,17:00,,
23/06/10,04:57,21:57,17:00,,
24/06/10,04:58,21:57,17:00,,
25/06/10,04:58,21:57,16:59,,
26/06/10,04:58,21:57,16:59,,
27/06/10,04:59,21:57,16:58,,
28/06/10,04:59,21:57,16:58,,
29/06/10,05:00,21:57,16:57,,
30/06/10,05:01,21:56,16:56,,
01/07/10,05:01,21:56,16:55,,
02/07/10,05:02,21:56,16:54,,
03/07/10,05:03,21:55,16:52,,
04/07/10,05:04,21:55,16:51,,
05/07/10,05:05,21:54,16:49,,
06/07/10,05:06,21:54,16:48,,
07/07/10,05:07,21:53,16:46,,
08/07/10,05:08,21:52,16:45,,
09/07/10,05:09,21:51,16:43,,
10/07/10,05:10,21:50,16:41,,
11/07/10,05:11,21:50,16:39,,
12/07/10,05:12,21:49,16:37,,
13/07/10,05:13,21:48,16:34,,
14/07/10,05:14,21:47,16:32,,
15/07/10,05:16,21:46,16:30,,
16/07/10,05:17,21:44,16:27,,
17/07/10,05:18,21:43,16:25,,
18/07/10,05:20,21:42,16:22,,
19/07/10,05:21,21:41,16:20,,
20/07/10,05:23,21:39,16:17,,
21/07/10,05:24,21:38,16:14,,
22/07/10,05:25,21:37,16:11,,
23/07/10,05:27,21:35,16:08,,
24/07/10,05:28,21:34,16:05,,
25/07/10,05:30,21:32,16:02,,
26/07/10,05:31,21:31,15:59,,
27/07/10,05:33,21:29,15:56,,
28/07/10,05:35,21:28,15:53,,
29/07/10,05:36,21:26,15:50,,
30/07/10,05:38,21:24,15:46,,
31/07/10,05:39,21:22,15:43,,
01/08/10,05:41,21:21,15:40,,
02/08/10,05:43,21:19,15:36,,
03/08/10,05:44,21:17,15:33,,
04/08/10,05:46,21:15,15:29,,
05/08/10,05:48,21:13,15:26,,
06/08/10,05:49,21:11,15:22,,
07/08/10,05:51,21:10,15:19,,
08/08/10,05:53,21:08,15:15,,
09/08/10,05:54,21:06,15:11,,
10/08/10,05:56,21:04,15:07,,
11/08/10,05:58,21:02,15:04,,
12/08/10,06:00,21:00,15:00,,
13/08/10,06:01,20:57,14:56,,
14/08/10,06:03,20:55,14:52,,
15/08/10,06:05,20:53,14:49,,
16/08/10,06:06,20:51,14:45,,
17/08/10,06:08,20:49,14:41,,
18/08/10,06:10,20:47,14:37,,
19/08/10,06:12,20:45,14:33,,
20/08/10,06:13,20:42,14:29,,
21/08/10,06:15,20:40,14:25,,
22/08/10,06:17,20:38,14:21,,
23/08/10,06:19,20:36,14:17,,
24/08/10,06:20,20:33,14:13,,
25/08/10,06:22,20:31,14:09,,
26/08/10,06:24,20:29,14:05,,
27/08/10,06:25,20:27,14:01,,
28/08/10,06:27,20:24,13:57,,
29/08/10,06:29,20:22,13:53,,
30/08/10,06:31,20:20,13:49,,
31/08/10,06:32,20:17,13:45,,
01/09/10,06:34,20:15,13:41,,
02/09/10,06:36,20:12,13:37,,
03/09/10,06:38,20:10,13:32,,
04/09/10,06:39,20:08,13:28,,
05/09/10,06:41,20:05,13:24,,
06/09/10,06:43,20:03,13:20,,
07/09/10,06:45,20:01,13:16,,
08/09/10,06:46,19:58,13:12,,
09/09/10,06:48,19:56,13:08,,
10/09/10,06:50,19:53,13:04,,
11/09/10,06:51,19:51,12:59,,
12/09/10,06:53,19:48,12:55,,
13/09/10,06:55,19:46,12:51,,
14/09/10,06:57,19:44,12:47,,
15/09/10,06:58,19:41,12:43,,
16/09/10,07:00,19:39,12:39,,
17/09/10,07:02,19:36,12:34,,
18/09/10,07:04,19:34,12:30,,
19/09/10,07:05,19:31,12:26,,
20/09/10,07:07,19:29,12:22,,
21/09/10,07:09,19:26,12:18,,
22/09/10,07:11,19:24,12:14,,
23/09/10,07:12,19:22,12:09,,
24/09/10,07:14,19:19,12:05,,
25/09/10,07:16,19:17,12:01,,
26/09/10,07:17,19:14,11:57,,
27/09/10,07:19,19:12,11:53,,
28/09/10,07:21,19:09,11:48,,
29/09/10,07:23,19:07,11:44,,
30/09/10,07:25,19:05,11:40,,
01/10/10,07:26,19:02,11:36,,
02/10/10,07:28,19:00,11:32,,
03/10/10,07:30,18:57,11:28,,
04/10/10,07:32,18:55,11:23,,
05/10/10,07:33,18:53,11:19,,
06/10/10,07:35,18:50,11:15,,
07/10/10,07:37,18:48,11:11,,
08/10/10,07:39,18:46,11:07,,
09/10/10,07:41,18:43,11:03,,
10/10/10,07:42,18:41,10:58,,
11/10/10,07:44,18:39,10:54,,
12/10/10,07:46,18:36,10:50,,
13/10/10,07:48,18:34,10:46,,
14/10/10,07:50,18:32,10:42,,
15/10/10,07:52,18:29,10:38,,
16/10/10,07:53,18:27,10:34,,
17/10/10,07:55,18:25,10:30,,
18/10/10,07:57,18:23,10:25,,
19/10/10,07:59,18:20,10:21,,
20/10/10,08:01,18:18,10:17,,
21/10/10,08:03,18:16,10:13,,
22/10/10,08:05,18:14,10:09,,
23/10/10,08:06,18:12,10:05,,
24/10/10,08:08,18:09,10:01,,
25/10/10,08:10,18:07,09:57,,
26/10/10,08:12,18:05,09:53,,
27/10/10,08:14,18:03,09:49,,
28/10/10,08:16,18:01,09:45,,
29/10/10,08:18,17:59,09:41,,
30/10/10,08:20,17:57,09:37,,
31/10/10,07:22,16:55,09:34,,
01/11/10,07:23,16:53,09:30,,
02/11/10,07:25,16:51,09:26,,
03/11/10,07:27,16:49,09:22,,
04/11/10,07:29,16:47,09:18,,
05/11/10,07:31,16:46,09:15,,
06/11/10,07:33,16:44,09:11,,
07/11/10,07:35,16:42,09:07,,
08/11/10,07:37,16:40,09:03,,
09/11/10,07:39,16:38,09:00,,
10/11/10,07:41,16:37,08:56,,
11/11/10,07:42,16:35,08:53,,
12/11/10,07:44,16:34,08:49,,
13/11/10,07:46,16:32,08:46,,
14/11/10,07:48,16:30,08:42,,
15/11/10,07:50,16:29,08:39,,
16/11/10,07:52,16:27,08:36,,
17/11/10,07:54,16:26,08:32,,
18/11/10,07:55,16:25,08:29,,
19/11/10,07:57,16:23,08:26,,
20/11/10,07:59,16:22,08:23,,
21/11/10,08:01,16:21,08:20,,
22/11/10,08:02,16:19,08:17,,
23/11/10,08:04,16:18,08:14,,
24/11/10,08:06,16:17,08:11,,
25/11/10,08:08,16:16,08:09,,
26/11/10,08:09,16:15,08:06,,
27/11/10,08:11,16:14,08:03,,
28/11/10,08:12,16:13,08:01,,
29/11/10,08:14,16:12,07:58,,
30/11/10,08:16,16:11,07:56,,
01/12/10,08:17,16:11,07:54,,
02/12/10,08:18,16:10,07:52,,
03/12/10,08:20,16:09,07:49,,
04/12/10,08:21,16:09,07:47,,
05/12/10,08:23,16:08,07:46,,
06/12/10,08:24,16:08,07:44,,
07/12/10,08:25,16:07,07:42,,
08/12/10,08:27,16:07,07:40,,
09/12/10,08:28,16:07,07:39,,
10/12/10,08:29,16:07,07:38,,
11/12/10,08:30,16:06,07:36,,
12/12/10,08:31,16:06,07:35,,
13/12/10,08:32,16:06,07:34,,
14/12/10,08:33,16:06,07:33,,
15/12/10,08:34,16:06,07:32,,
16/12/10,08:35,16:06,07:32,,
17/12/10,08:36,16:07,07:31,,
18/12/10,08:36,16:07,07:31,,
19/12/10,08:37,16:07,07:30,,
20/12/10,08:38,16:08,07:30,,
21/12/10,08:38,16:08,07:30,,
22/12/10,08:39,16:09,07:30,,
23/12/10,08:39,16:09,07:30,,
24/12/10,08:39,16:10,07:30,,
25/12/10,08:40,16:10,07:31,,
26/12/10,08:40,16:11,07:31,,
27/12/10,08:40,16:12,07:32,,
28/12/10,08:40,16:13,07:32,,
29/12/10,08:41,16:14,07:33,,
30/12/10,08:41,16:15,07:34,,
31/12/10,08:40,16:16,07:35,,
01/01/11,08:40,16:17,07:36,,
02/01/11,08:40,16:18,07:38,,
03/01/11,08:40,16:19,07:39,,
04/01/11,08:40,16:20,07:41,,
05/01/11,08:39,16:22,07:42,,
06/01/11,08:39,16:23,07:44,,
07/01/11,08:38,16:24,07:46,,
08/01/11,08:38,16:26,07:48,,
09/01/11,08:37,16:27,07:50,,
10/01/11,08:37,16:29,07:52,,
11/01/11,08:36,16:30,07:54,,
12/01/11,08:35,16:32,07:56,,
13/01/11,08:35,16:33,07:59,,
14/01/11,08:34,16:35,08:01,,
15/01/11,08:33,16:36,08:04,,
16/01/11,08:32,16:38,08:06,,
17/01/11,08:31,16:40,08:09,,
18/01/11,08:30,16:42,08:12,,
19/01/11,08:29,16:43,08:15,,
20/01/11,08:27,16:45,08:18,,
21/01/11,08:26,16:47,08:21,,
22/01/11,08:25,16:49,08:24,,
23/01/11,08:24,16:50,08:27,,
24/01/11,08:22,16:52,08:30,,
25/01/11,08:21,16:54,08:33,,
26/01/11,08:20,16:56,08:36,,
27/01/11,08:18,16:58,08:40,,
28/01/11,08:17,17:00,08:43,,
29/01/11,08:15,17:02,08:47,,
30/01/11,08:14,17:04,08:50,,
31/01/11,08:12,17:06,08:54,,
01/02/11,08:10,17:08,08:57,,
02/02/11,08:09,17:10,09:01,,
03/02/11,08:07,17:11,09:05,,
04/02/11,08:05,17:13,09:08,,
05/02/11,08:03,17:15,09:12,,
06/02/11,08:02,17:17,09:16,,
07/02/11,08:00,17:19,09:20,,
08/02/11,07:58,17:21,09:23,,
09/02/11,07:56,17:23,09:27,,
10/02/11,07:54,17:25,09:31,,
11/02/11,07:52,17:27,09:35,,
12/02/11,07:50,17:29,09:39,,
13/02/11,07:48,17:31,09:43,,
14/02/11,07:46,17:33,09:47,,
15/02/11,07:44,17:35,09:51,,
16/02/11,07:42,17:37,09:55,,
17/02/11,07:40,17:39,09:59,,
18/02/11,07:38,17:41,10:03,,
19/02/11,07:36,17:43,10:07,,
20/02/11,07:34,17:45,10:11,,
21/02/11,07:31,17:47,10:15,,
22/02/11,07:29,17:49,10:20,,
23/02/11,07:27,17:51,10:24,,
24/02/11,07:25,17:53,10:28,,
25/02/11,07:23,17:55,10:32,,
26/02/11,07:20,17:57,10:36,,
27/02/11,07:18,17:58,10:40,,
28/02/11,07:16,18:00,10:44,,
01/03/11,07:14,18:02,10:49,,
02/03/11,07:11,18:04,10:53,,
03/03/11,07:09,18:06,10:57,,
04/03/11,07:07,18:08,11:01,,
05/03/11,07:04,18:10,11:05,,
06/03/11,07:02,18:12,11:10,,
07/03/11,07:00,18:14,11:14,,
08/03/11,06:57,18:16,11:18,,
09/03/11,06:55,18:17,11:22,,
10/03/11,06:53,18:19,11:27,,
11/03/11,06:50,18:21,11:31,,
12/03/11,06:48,18:23,11:35,,
13/03/11,06:45,18:25,11:39,,
14/03/11,06:43,18:27,11:44,,
15/03/11,06:41,18:29,11:48,,
16/03/11,06:38,18:30,11:52,,
17/03/11,06:36,18:32,11:56,,
18/03/11,06:33,18:34,12:01,,
19/03/11,06:31,18:36,12:05,,
20/03/11,06:29,18:38,12:09,,
21/03/11,06:26,18:40,12:13,,
22/03/11,06:24,18:41,12:18,,
23/03/11,06:21,18:43,12:22,,
24/03/11,06:19,18:45,12:26,,
25/03/11,06:17,18:47,12:30,,
26/03/11,06:14,18:49,12:35,,
27/03/11,07:12,19:50,12:39,,
28/03/11,07:09,19:52,12:43,,
29/03/11,07:07,19:54,12:47,,
30/03/11,07:04,19:56,12:51,,
31/03/11,07:02,19:58,12:56,,
01/04/11,07:00,20:00,13:00,,
02/04/11,06:57,20:01,13:04,,
03/04/11,06:55,20:03,13:08,,
04/04/11,06:52,20:05,13:13,,
05/04/11,06:50,20:07,13:17,,
06/04/11,06:48,20:09,13:21,,
07/04/11,06:45,20:10,13:25,,
08/04/11,06:43,20:12,13:29,,
09/04/11,06:41,20:14,13:33,,
10/04/11,06:38,20:16,13:38,,
11/04/11,06:36,20:18,13:42,,
12/04/11,06:34,20:20,13:46,,
13/04/11,06:31,20:21,13:50,,
14/04/11,06:29,20:23,13:54,,
15/04/11,06:27,20:25,13:58,,
16/04/11,06:24,20:27,14:02,,
17/04/11,06:22,20:29,14:06,,
18/04/11,06:20,20:30,14:11,,
19/04/11,06:18,20:32,14:15,,
20/04/11,06:15,20:34,14:19,,
21/04/11,06:13,20:36,14:23,,
22/04/11,06:11,20:38,14:27,,
23/04/11,06:09,20:39,14:31,,
24/04/11,06:07,20:41,14:35,,
25/04/11,06:04,20:43,14:39,,
26/04/11,06:02,20:45,14:43,,
27/04/11,06:00,20:47,14:47,,
28/04/11,05:58,20:48,14:50,,
29/04/11,05:56,20:50,14:54,,
30/04/11,05:54,20:52,14:58,,
01/05/11,05:52,20:54,15:02,,
02/05/11,05:50,20:56,15:06,,
03/05/11,05:48,20:57,15:10,,
04/05/11,05:46,20:59,15:13,,
05/05/11,05:44,21:01,15:17,,
06/05/11,05:42,21:03,15:21,,
07/05/11,05:40,21:04,15:24,,
08/05/11,05:38,21:06,15:28,,
09/05/11,05:36,21:08,15:31,,
10/05/11,05:35,21:10,15:35,,
11/05/11,05:33,21:11,15:38,,
12/05/11,05:31,21:13,15:42,,
13/05/11,05:29,21:15,15:45,,
14/05/11,05:28,21:16,15:49,,
15/05/11,05:26,21:18,15:52,,
16/05/11,05:24,21:20,15:55,,
17/05/11,05:23,21:21,15:58,,
18/05/11,05:21,21:23,16:01,,
19/05/11,05:20,21:24,16:05,,
20/05/11,05:18,21:26,16:08,,
21/05/11,05:17,21:27,16:10,,
22/05/11,05:16,21:29,16:13,,
23/05/11,05:14,21:30,16:16,,
24/05/11,05:13,21:32,16:19,,
25/05/11,05:12,21:33,16:22,,
26/05/11,05:10,21:35,16:24,,
27/05/11,05:09,21:36,16:27,,
28/05/11,05:08,21:37,16:29,,
29/05/11,05:07,21:39,16:32,,
30/05/11,05:06,21:40,16:34,,
31/05/11,05:05,21:41,16:36,,
01/06/11,05:04,21:42,16:38,,
02/06/11,05:03,21:44,16:40,,
03/06/11,05:02,21:45,16:42,,
04/06/11,05:02,21:46,16:44,,
05/06/11,05:01,21:47,16:46,,
06/06/11,05:00,21:48,16:48,,
07/06/11,05:00,21:49,16:49,,
08/06/11,04:59,21:50,16:51,,
09/06/11,04:58,21:51,16:52,,
10/06/11,04:58,21:51,16:53,,
11/06/11,04:58,21:52,16:55,,
12/06/11,04:57,21:53,16:56,,
13/06/11,04:57,21:54,16:57,,
14/06/11,04:57,21:54,16:57,,
15/06/11,04:57,21:55,16:58,,
16/06/11,04:56,21:55,16:59,,
17/06/11,04:56,21:56,16:59,,
18/06/11,04:56,21:56,17:00,,
19/06/11,04:56,21:56,17:00,,
20/06/11,04:56,21:57,17:00,,
