Date,Rise,Set,DayLength
30/04/10,06:05,21:03,14:59
01/05/10,06:03,21:05,15:02
02/05/10,06:01,21:07,15:06
03/05/10,05:59,21:09,15:10
04/05/10,05:57,21:10,15:14
05/05/10,05:55,21:12,15:17
06/05/10,05:53,21:14,15:21
07/05/10,05:51,21:16,15:25
08/05/10,05:49,21:17,15:28
09/05/10,05:47,21:19,15:32
10/05/10,05:46,21:21,15:35
11/05/10,05:44,21:22,15:39
12/05/10,05:42,21:24,15:42
13/05/10,05:40,21:26,15:45
14/05/10,05:39,21:27,15:49
15/05/10,05:37,21:29,15:52
16/05/10,05:35,21:31,15:55
17/05/10,05:34,21:32,15:58
18/05/10,05:32,21:34,16:02
19/05/10,05:31,21:35,16:05
20/05/10,05:29,21:37,16:08
21/05/10,05:28,21:39,16:11
22/05/10,05:27,21:40,16:13
23/05/10,05:25,21:42,16:16
24/05/10,05:24,21:43,16:19
25/05/10,05:23,21:44,16:22
26/05/10,05:22,21:46,16:24
27/05/10,05:20,21:47,16:27
28/05/10,05:19,21:48,16:29
29/05/10,05:18,21:50,16:31
30/05/10,05:17,21:51,16:34
31/05/10,05:16,21:52,16:36
01/06/10,05:15,21:53,16:38
02/06/10,05:14,21:55,16:40
03/06/10,05:14,21:56,16:42
04/06/10,05:13,21:57,16:44
05/06/10,05:12,21:58,16:46
06/06/10,05:12,21:59,16:47
07/06/10,05:11,22:00,16:49
08/06/10,05:10,22:01,16:50
09/06/10,05:10,22:01,16:52
10/06/10,05:09,22:02,16:53
11/06/10,05:09,22:03,16:54
12/06/10,05:09,22:04,16:55
13/06/10,05:08,22:04,16:56
14/06/10,05:08,22:05,16:57
15/06/10,05:08,22:06,16:57
16/06/10,05:08,22:06,16:58
17/06/10,05:08,22:06,16:59
18/06/10,05:08,22:07,16:59
19/06/10,05:08,22:07,16:59
20/06/10,05:08,22:07,16:59
21/06/10,05:08,22:08,16:59
22/06/10,05:08,22:08,16:59
23/06/10,05:09,22:08,16:59
24/06/10,05:09,22:08,16:59
25/06/10,05:10,22:08,16:58
26/06/10,05:10,22:08,16:58
27/06/10,05:10,22:08,16:57
28/06/10,05:11,22:08,16:57
29/06/10,05:12,22:07,16:56
30/06/10,05:12,22:07,16:55
01/07/10,05:13,22:07,16:54
02/07/10,05:14,22:06,16:53
03/07/10,05:14,22:06,16:51
04/07/10,05:15,22:05,16:50
05/07/10,05:16,22:05,16:49
06/07/10,05:17,22:04,16:47
07/07/10,05:18,22:04,16:45
08/07/10,05:19,22:03,16:44
09/07/10,05:20,22:02,16:42
10/07/10,05:21,22:01,16:40
11/07/10,05:22,22:00,16:38
12/07/10,05:24,21:59,16:36
13/07/10,05:25,21:58,16:34
14/07/10,05:26,21:57,16:31
15/07/10,05:27,21:56,16:29
16/07/10,05:29,21:55,16:27
17/07/10,05:30,21:54,16:24
18/07/10,05:31,21:53,16:22
19/07/10,05:33,21:52,16:19
20/07/10,05:34,21:50,16:16
21/07/10,05:35,21:49,16:13
22/07/10,05:37,21:47,16:11
23/07/10,05:38,21:46,16:08
24/07/10,05:40,21:45,16:05
25/07/10,05:41,21:43,16:02
26/07/10,05:43,21:42,15:59
27/07/10,05:44,21:40,15:55
28/07/10,05:46,21:38,15:52
29/07/10,05:48,21:37,15:49
30/07/10,05:49,21:35,15:46
31/07/10,05:51,21:33,15:42
01/08/10,05:52,21:32,15:39
02/08/10,05:54,21:30,15:36
03/08/10,05:56,21:28,15:32
04/08/10,05:57,21:26,15:29
05/08/10,05:59,21:24,15:25
06/08/10,06:01,21:22,15:22
07/08/10,06:02,21:20,15:18
08/08/10,06:04,21:18,15:14
09/08/10,06:06,21:16,15:11
10/08/10,06:08,21:14,15:07
11/08/10,06:09,21:12,15:03
12/08/10,06:11,21:10,14:59
13/08/10,06:13,21:08,14:56
14/08/10,06:14,21:06,14:52
15/08/10,06:16,21:04,14:48
16/08/10,06:18,21:02,14:44
17/08/10,06:20,21:00,14:40
18/08/10,06:21,20:58,14:36
19/08/10,06:23,20:56,14:33
20/08/10,06:25,20:53,14:29
21/08/10,06:26,20:51,14:25
22/08/10,06:28,20:49,14:21
23/08/10,06:30,20:47,14:17
24/08/10,06:32,20:44,14:13
25/08/10,06:33,20:42,14:09
26/08/10,06:35,20:40,14:05
27/08/10,06:37,20:38,14:01
28/08/10,06:39,20:35,13:57
29/08/10,06:40,20:33,13:53
30/08/10,06:42,20:31,13:49
31/08/10,06:44,20:28,13:44
01/09/10,06:45,20:26,13:40
02/09/10,06:47,20:23,13:36
03/09/10,06:49,20:21,13:32
04/09/10,06:51,20:19,13:28
05/09/10,06:52,20:16,13:24
06/09/10,06:54,20:14,13:20
07/09/10,06:56,20:12,13:16
08/09/10,06:57,20:09,13:12
09/09/10,06:59,20:07,13:08
10/09/10,07:01,20:04,13:03
11/09/10,07:03,20:02,12:59
12/09/10,07:04,20:00,12:55
13/09/10,07:06,19:57,12:51
14/09/10,07:08,19:55,12:47
15/09/10,07:10,19:52,12:43
16/09/10,07:11,19:50,12:38
17/09/10,07:13,19:47,12:34
18/09/10,07:15,19:45,12:30
19/09/10,07:16,19:42,12:26
20/09/10,07:18,19:40,12:22
21/09/10,07:20,19:38,12:18
22/09/10,07:22,19:35,12:13
23/09/10,07:23,19:33,12:09
24/09/10,07:25,19:30,12:05
25/09/10,07:27,19:28,12:01
26/09/10,07:29,19:25,11:57
27/09/10,07:30,19:23,11:53
28/09/10,07:32,19:21,11:48
29/09/10,07:34,19:18,11:44
30/09/10,07:36,19:16,11:40
01/10/10,07:37,19:13,11:36
02/10/10,07:39,19:11,11:32
03/10/10,07:41,19:09,11:28
04/10/10,07:43,19:06,11:23
05/10/10,07:45,19:04,11:19
06/10/10,07:46,19:01,11:15
07/10/10,07:48,18:59,11:11
08/10/10,07:50,18:57,11:07
09/10/10,07:52,18:54,11:03
10/10/10,07:53,18:52,10:59
11/10/10,07:55,18:50,10:54
12/10/10,07:57,18:47,10:50
13/10/10,07:59,18:45,10:46
14/10/10,08:01,18:43,10:42
15/10/10,08:03,18:41,10:38
16/10/10,08:04,18:38,10:34
17/10/10,08:06,18:36,10:30
18/10/10,08:08,18:34,10:26
19/10/10,08:10,18:32,10:22
20/10/10,08:12,18:29,10:18
21/10/10,08:14,18:27,10:13
22/10/10,08:16,18:25,10:09
23/10/10,08:17,18:23,10:05
24/10/10,08:19,18:21,10:01
25/10/10,08:21,18:19,09:57
26/10/10,08:23,18:17,09:53
27/10/10,08:25,18:14,09:50
28/10/10,08:27,18:12,09:46
29/10/10,08:29,18:10,09:42
30/10/10,08:31,18:08,09:38
31/10/10,07:32,17:06,09:34
01/11/10,07:34,17:04,09:30
02/11/10,07:36,17:03,09:26
03/11/10,07:38,17:01,09:22
04/11/10,07:40,16:59,09:19
05/11/10,07:42,16:57,09:15
06/11/10,07:44,16:55,09:11
07/11/10,07:46,16:53,09:08
08/11/10,07:48,16:52,09:04
09/11/10,07:50,16:50,09:00
10/11/10,07:51,16:48,08:57
11/11/10,07:53,16:47,08:53
12/11/10,07:55,16:45,08:50
13/11/10,07:57,16:43,08:46
14/11/10,07:59,16:42,08:43
15/11/10,08:01,16:40,08:40
16/11/10,08:03,16:39,08:36
17/11/10,08:04,16:37,08:33
18/11/10,08:06,16:36,08:30
19/11/10,08:08,16:35,08:27
20/11/10,08:10,16:33,08:24
21/11/10,08:11,16:32,08:21
22/11/10,08:13,16:31,08:18
23/11/10,08:15,16:30,08:15
24/11/10,08:17,16:29,08:12
25/11/10,08:18,16:28,08:09
26/11/10,08:20,16:27,08:07
27/11/10,08:22,16:26,08:04
28/11/10,08:23,16:25,08:01
29/11/10,08:25,16:24,07:59
30/11/10,08:26,16:23,07:57
01/12/10,08:28,16:22,07:54
02/12/10,08:29,16:22,07:52
03/12/10,08:31,16:21,07:50
04/12/10,08:32,16:20,07:48
05/12/10,08:33,16:20,07:46
06/12/10,08:35,16:19,07:44
07/12/10,08:36,16:19,07:43
08/12/10,08:37,16:19,07:41
09/12/10,08:39,16:18,07:40
10/12/10,08:40,16:18,07:38
11/12/10,08:41,16:18,07:37
12/12/10,08:42,16:18,07:36
13/12/10,08:43,16:18,07:35
14/12/10,08:44,16:18,07:34
15/12/10,08:45,16:18,07:33
16/12/10,08:46,16:18,07:32
17/12/10,08:46,16:18,07:32
18/12/10,08:47,16:18,07:31
19/12/10,08:48,16:19,07:31
20/12/10,08:48,16:19,07:31
21/12/10,08:49,16:20,07:31
22/12/10,08:49,16:20,07:31
23/12/10,08:50,16:21,07:31
24/12/10,08:50,16:21,07:31
25/12/10,08:51,16:22,07:31
26/12/10,08:51,16:23,07:32
27/12/10,08:51,16:24,07:32
28/12/10,08:51,16:24,07:33
29/12/10,08:51,16:25,07:34
30/12/10,08:51,16:26,07:35
31/12/10,08:51,16:27,07:36
01/01/11,08:51,16:28,07:37
02/01/11,08:51,16:29,07:38
03/01/11,08:51,16:31,07:40
04/01/11,08:50,16:32,07:41
05/01/11,08:50,16:33,07:43
06/01/11,08:50,16:34,07:45
07/01/11,08:49,16:36,07:46
08/01/11,08:49,16:37,07:48
09/01/11,08:48,16:39,07:50
10/01/11,08:48,16:40,07:53
11/01/11,08:47,16:42,07:55
12/01/11,08:46,16:43,07:57
13/01/11,08:45,16:45,07:59
14/01/11,08:44,16:46,08:02
15/01/11,08:44,16:48,08:04
16/01/11,08:43,16:50,08:07
17/01/11,08:42,16:51,08:10
18/01/11,08:41,16:53,08:12
19/01/11,08:39,16:55,08:15
20/01/11,08:38,16:57,08:18
21/01/11,08:37,16:58,08:21
22/01/11,08:36,17:00,08:24
23/01/11,08:35,17:02,08:27
24/01/11,08:33,17:04,08:31
25/01/11,08:32,17:06,08:34
26/01/11,08:30,17:07,08:37
27/01/11,08:29,17:09,08:40
28/01/11,08:27,17:11,08:44
29/01/11,08:26,17:13,08:47
30/01/11,08:24,17:15,08:51
31/01/11,08:23,17:17,08:54
01/02/11,08:21,17:19,08:58
02/02/11,08:19,17:21,09:01
03/02/11,08:18,17:23,09:05
04/02/11,08:16,17:25,09:09
05/02/11,08:14,17:27,09:13
06/02/11,08:12,17:29,09:16
07/02/11,08:11,17:31,09:20
08/02/11,08:09,17:33,09:24
09/02/11,08:07,17:35,09:28
10/02/11,08:05,17:37,09:32
11/02/11,08:03,17:39,09:36
12/02/11,08:01,17:41,09:39
13/02/11,07:59,17:43,09:43
14/02/11,07:57,17:44,09:47
15/02/11,07:55,17:46,09:51
16/02/11,07:53,17:48,09:55
17/02/11,07:51,17:50,09:59
18/02/11,07:49,17:52,10:03
19/02/11,07:47,17:54,10:08
20/02/11,07:45,17:56,10:12
21/02/11,07:42,17:58,10:16
22/02/11,07:40,18:00,10:20
23/02/11,07:38,18:02,10:24
24/02/11,07:36,18:04,10:28
25/02/11,07:34,18:06,10:32
26/02/11,07:31,18:08,10:36
27/02/11,07:29,18:10,10:41
28/02/11,07:27,18:12,10:45
01/03/11,07:25,18:14,10:49
02/03/11,07:22,18:15,10:53
03/03/11,07:20,18:17,10:57
04/03/11,07:18,18:19,11:01
05/03/11,07:15,18:21,11:06
06/03/11,07:13,18:23,11:10
07/03/11,07:11,18:25,11:14
08/03/11,07:08,18:27,11:18
09/03/11,07:06,18:29,11:23
10/03/11,07:04,18:30,11:27
11/03/11,07:01,18:32,11:31
12/03/11,06:59,18:34,11:35
13/03/11,06:57,18:36,11:39
14/03/11,06:54,18:38,11:44
15/03/11,06:52,18:40,11:48
16/03/11,06:49,18:42,11:52
17/03/11,06:47,18:43,11:56
18/03/11,06:45,18:45,12:01
19/03/11,06:42,18:47,12:05
20/03/11,06:40,18:49,12:09
21/03/11,06:37,18:51,12:13
22/03/11,06:35,18:52,12:18
23/03/11,06:33,18:54,12:22
24/03/11,06:30,18:56,12:26
25/03/11,06:28,18:58,12:30
26/03/11,06:25,19:00,12:34
27/03/11,07:23,20:02,12:39
28/03/11,07:20,20:03,12:43
29/03/11,07:18,20:05,12:47
30/03/11,07:16,20:07,12:51
31/03/11,07:13,20:09,12:56
01/04/11,07:11,20:11,13:00
02/04/11,07:08,20:12,13:04
03/04/11,07:06,20:14,13:08
04/04/11,07:04,20:16,13:12
05/04/11,07:01,20:18,13:17
06/04/11,06:59,20:20,13:21
07/04/11,06:57,20:21,13:25
08/04/11,06:54,20:23,13:29
09/04/11,06:52,20:25,13:33
10/04/11,06:49,20:27,13:37
11/04/11,06:47,20:29,13:42
12/04/11,06:45,20:31,13:46
13/04/11,06:43,20:32,13:50
14/04/11,06:40,20:34,13:54
15/04/11,06:38,20:36,13:58
16/04/11,06:36,20:38,14:02
17/04/11,06:33,20:40,14:06
18/04/11,06:31,20:41,14:10
19/04/11,06:29,20:43,14:14
20/04/11,06:27,20:45,14:18
21/04/11,06:24,20:47,14:22
22/04/11,06:22,20:49,14:26
23/04/11,06:20,20:50,14:30
24/04/11,06:18,20:52,14:34
25/04/11,06:16,20:54,14:38
26/04/11,06:14,20:56,14:42
27/04/11,06:11,20:58,14:46
28/04/11,06:09,20:59,14:50
29/04/11,06:07,21:01,14:54
30/04/11,06:05,21:03,14:58
01/05/11,06:03,21:05,15:01
02/05/11,06:01,21:06,15:05
03/05/11,05:59,21:08,15:09
04/05/11,05:57,21:10,15:13
05/05/11,05:55,21:12,15:16
06/05/11,05:53,21:14,15:20
07/05/11,05:51,21:15,15:24
08/05/11,05:50,21:17,15:27
09/05/11,05:48,21:19,15:31
10/05/11,05:46,21:20,15:34
11/05/11,05:44,21:22,15:38
12/05/11,05:42,21:24,15:41
13/05/11,05:41,21:25,15:45
14/05/11,05:39,21:27,15:48
15/05/11,05:37,21:29,15:51
16/05/11,05:36,21:30,15:54
17/05/11,05:34,21:32,15:58
18/05/11,05:33,21:34,16:01
19/05/11,05:31,21:35,16:04
20/05/11,05:30,21:37,16:07
21/05/11,05:28,21:38,16:10
22/05/11,05:27,21:40,16:13
23/05/11,05:26,21:41,16:15
24/05/11,05:24,21:43,16:18
25/05/11,05:23,21:44,16:21
26/05/11,05:22,21:45,16:24
27/05/11,05:21,21:47,16:26
28/05/11,05:20,21:48,16:29
29/05/11,05:19,21:49,16:31
30/05/11,05:17,21:51,16:33
31/05/11,05:17,21:52,16:35
01/06/11,05:16,21:53,16:38
02/06/11,05:15,21:54,16:40
03/06/11,05:14,21:55,16:42
04/06/11,05:13,21:57,16:43
05/06/11,05:12,21:58,16:45
06/06/11,05:12,21:59,16:47
07/06/11,05:11,21:59,16:48
08/06/11,05:11,22:00,16:50
09/06/11,05:10,22:01,16:51
10/06/11,05:10,22:02,16:52
11/06/11,05:09,22:03,16:54
12/06/11,05:09,22:04,16:55
13/06/11,05:09,22:04,16:56
14/06/11,05:08,22:05,16:57
15/06/11,05:08,22:05,16:57
16/06/11,05:08,22:06,16:58
17/06/11,05:08,22:06,16:58
18/06/11,05:08,22:07,16:59
19/06/11,05:08,22:07,16:59
20/06/11,05:08,22:07,16:59
21/06/11,05:08,22:08,16:59
22/06/11,05:08,22:08,16:59
23/06/11,05:09,22:08,16:59
24/06/11,05:09,22:08,16:59
25/06/11,05:09,22:08,16:59
26/06/11,05:10,22:08,16:58
27/06/11,05:10,22:08,16:58
28/06/11,05:11,22:08,16:57
29/06/11,05:11,22:07,16:56
30/06/11,05:12,22:07,16:55
01/07/11,05:13,22:07,16:54
02/07/11,05:14,22:07,16:53
03/07/11,05:14,22:06,16:52
04/07/11,05:15,22:06,16:50
05/07/11,05:16,22:05,16:49
06/07/11,05:17,22:04,16:47
07/07/11,05:18,22:04,16:46
08/07/11,05:19,22:03,16:44
09/07/11,05:20,22:02,16:42
10/07/11,05:21,22:01,16:40
11/07/11,05:22,22:01,16:38
12/07/11,05:23,22:00,16:36
13/07/11,05:24,21:59,16:34
14/07/11,05:26,21:58,16:32
15/07/11,05:27,21:57,16:30
16/07/11,05:28,21:55,16:27
17/07/11,05:30,21:54,16:25
18/07/11,05:31,21:53,16:22
19/07/11,05:32,21:52,16:20
20/07/11,05:34,21:51,16:17
21/07/11,05:35,21:49,16:14
22/07/11,05:37,21:48,16:11
23/07/11,05:38,21:46,16:08
24/07/11,05:40,21:45,16:05
25/07/11,05:41,21:43,16:02
26/07/11,05:43,21:42,15:59
27/07/11,05:44,21:40,15:56
28/07/11,05:46,21:39,15:53
29/07/11,05:47,21:37,15:50
30/07/11,05:49,21:35,15:47
31/07/11,05:50,21:34,15:43
01/08/11,05:52,21:32,15:40
02/08/11,05:54,21:30,15:36
03/08/11,05:55,21:28,15:33
04/08/11,05:57,21:27,15:29
05/08/11,05:59,21:25,15:26
06/08/11,06:00,21:23,15:22
07/08/11,06:02,21:21,15:19
08/08/11,06:04,21:19,15:15
09/08/11,06:05,21:17,15:12
10/08/11,06:07,21:15,15:08
11/08/11,06:09,21:13,15:04
12/08/11,06:11,21:11,15:00
13/08/11,06:12,21:09,14:57
14/08/11,06:14,21:07,14:53
15/08/11,06:16,21:05,14:49
16/08/11,06:17,21:03,14:45
17/08/11,06:19,21:00,14:41
18/08/11,06:21,20:58,14:37
19/08/11,06:23,20:56,14:33
20/08/11,06:24,20:54,14:30
21/08/11,06:26,20:52,14:26
22/08/11,06:28,20:49,14:22
23/08/11,06:29,20:47,14:18
24/08/11,06:31,20:45,14:14
25/08/11,06:33,20:43,14:10
26/08/11,06:35,20:40,14:06
27/08/11,06:36,20:38,14:02
28/08/11,06:38,20:36,13:58
29/08/11,06:40,20:33,13:54
30/08/11,06:42,20:31,13:50
31/08/11,06:43,20:29,13:45
01/09/11,06:45,20:26,13:41
02/09/11,06:47,20:24,13:37
03/09/11,06:48,20:22,13:33
04/09/11,06:50,20:19,13:29
05/09/11,06:52,20:17,13:25
06/09/11,06:54,20:15,13:21
07/09/11,06:55,20:12,13:17
08/09/11,06:57,20:10,13:13
09/09/11,06:59,20:07,13:09
10/09/11,07:01,20:05,13:04
11/09/11,07:02,20:03,13:00
12/09/11,07:04,20:00,12:56
13/09/11,07:06,19:58,12:52
14/09/11,07:07,19:55,12:48
15/09/11,07:09,19:53,12:44
16/09/11,07:11,19:50,12:39
17/09/11,07:13,19:48,12:35
18/09/11,07:14,19:45,12:31
